RealData,Predicted
9547.044330045008,9078.925
9919.531591175199,9069.785
9780.022672175748,9312.055
9580.325030903146,9422.925
9325.025745721457,9321.089
8619.84500881459,9067.636
8896.123506159958,8626.041
9048.55962546016,8468.919
8790.176465720931,8541.142
8666.298929737499,8551.31
9182.208717045165,8487.204
9048.679819746814,8626.39
9376.07245161153,8710.33
9601.82971750369,8857.721
9790.555320851781,9047.311
9798.034426685343,9234.056
9867.87745900907,9298.329
9729.620591689158,9316.789
9131.903725269589,9229.437
9188.253091064902,8908.1875
9443.487475482058,8749.224
9007.309655769923,8841.245
8339.797977434544,8802.922
8047.155443905287,8470.781
7479.741238210267,8103.6143
8197.215948943529,7718.398
8244.177724434898,7738.1514
9016.626947966242,7984.8325
9584.063460356383,8517.69
9296.040814418433,9139.286
9296.068817824202,9280.563
9485.351403650635,9128.88
9587.114365331385,9031.893
9316.404888745516,9028.821
9370.517079813273,8947.9795
9051.441788550757,8910.8125
9192.323943480258,8791.489
9711.17358626269,8798.392
10162.233203002963,9091.978
10369.472990200635,9536.424
10300.138929029818,9865.658
10033.101368391533,9910.101
9957.126037227521,9683.464
10500.582625153887,9474.384
10259.083974899604,9616.468
10252.30735517013,9670.326
10265.574459018799,9672.645
10055.032051512084,9662.91
11022.38678653502,9577.378
11966.997011065152,9890.471
10996.368776731171,10594.964
10134.330737246593,10553.242
9998.430327381,9889.251
10405.934861268921,9444.783
10257.702259816506,9467.419
9762.326544502701,9555.841
9659.947135882217,9398.905
9865.658281347462,9234.966
10196.720170392598,9262.224
9896.590586101793,9472.728
9691.353907478555,9470.258
9146.857630775978,9288.833
8756.89035168838,8906.866
8455.337278109673,8522.458
7840.182416579362,8224.29
8017.451592320461,7903.7603
7802.771506571035,7792.8193
7781.69594886183,7759.43
8311.40936165593,7765.071
8164.208607278472,7970.3555
7819.0669687661775,8103.761
7780.821766971444,7979.8354
7168.478546219019,7772.0146
7548.261668868457,7403.6206
7376.526914482448,7214.8296
7774.628378271309,7130.337
7873.655148184423,7249.684
7843.360572571892,7467.625
8430.23616167414,7607.803
8460.937938951207,7855.621
8073.380054911517,8060.7476
7562.2306790095445,7974.875
7323.9791058989695,7601.7324
7462.82845956974,7178.379
6739.290563658823,6938.982
6910.349806898101,6659.999
7034.479604604149,6486.8486
6681.102701539354,6505.8193
6614.231722537937,6546.475
5333.480760266875,6584.542
5220.878642913576,6263.252
5172.696693991742,5802.1196
5303.177182875832,5395.15
5974.216502782535,5168.994
5229.050426014312,5293.3335
4817.155693894223,5530.9136
4877.324479950226,5620.5303
5216.03652188687,5558.7925
5146.303085844159,5546.9985
5197.051673034497,5563.969
5466.427134253324,5591.4863
5686.995872160513,5660.186
5467.061866877436,5797.19
4978.774298143142,5901.5728
5133.046116886511,5816.7046
4704.889079955632,5677.831
4723.735146618597,5479.6304
5002.272007079577,5269.604
4580.107960703065,5154.3906
4094.0503103426972,5129.0684
4544.522183068091,5018.4775
4605.058095506412,4965.9795
5024.524172119586,4981.0806
5314.789966123599,5116.4053
5334.484217176462,5386.424
5197.085128387867,5676.201
5643.9135873540345,5829.086
5541.108726400307,5935.756
6015.432671607345,5963.082
6308.036036980391,6033.561
6415.385132393581,6200.288
6874.929878669879,6395.4937
6569.366511499697,6651.3267
6960.540525595689,6772.5195
7017.069979116999,6851.3335
6675.0918671120235,6920.5825
6399.970881659694,6856.472
6603.577388242919,6642.438
6394.327871594669,6459.5933
6369.756539062274,6306.988
6849.7506919190155,6212.103
7076.978801579114,6335.7515
6950.730848005271,6678.729
7450.624275849026,7007.126
7585.272323859676,7335.6
7989.363120519923,7622.2534
8128.977151751722,7937.53
8164.4902372014385,8167.0586
7607.005758236489,8242.826
6848.053806054098,7913.6855
6284.433845511245,7341.157
6257.622287501426,6731.888
5860.4513837184595,6311.2964
6638.661563863185,6008.3647
6261.481595431219,6092.208
6313.70204430639,6329.7817
5401.863173327115,6585.927
5517.747549227427,6478.763
5594.793679947881,6201.4697
5263.7265978180085,5969.313
5658.157148755499,5748.727
6118.944693419948,5643.637
6473.4867502393445,5766.6157
6488.964781785114,6101.336
6318.529651252657,6451.815
6551.338334042272,6579.937
6141.400573405186,6592.9517
6083.372804002651,6443.3765
5741.415951240821,6212.953
5305.306174441117,5905.1865
5456.029507163624,5591.424
4558.859746029969,5408.1724
4418.227450659542,5249.035
4643.4106084905015,5081.648
4658.972636944109,4984.715
4957.748665751877,4952.0747
5363.734665486361,5045.4756
4882.390150880439,5306.919
4973.361650230412,5532.7847
4954.879427408137,5643.701
5284.009883402248,5633.961
5461.184286959905,5611.2793
5321.419690789035,5663.838
5451.244745617491,5706.115
5592.596027455972,5737.209
6442.980508408213,5774.819
6449.3259760001065,6009.1445
6589.181580508727,6343.67
6923.27222966804,6639.4517
6685.579995455646,6887.7817
6579.967551609447,6957.714
6860.2449970229945,6846.268
6999.446567226669,6742.9062
7599.964758569691,6736.6763
7726.676116261754,6993.346
7707.926255741887,7415.327
7997.934324642515,7753.7217
9022.134494373096,7981.077
8121.276955581586,8473.79
8753.266746385718,8435.109
8281.90582513223,8410.293
8873.604712251848,8264.133
8907.52764120542,8377.818
8705.759696465597,8663.179
8463.44402537125,8741.263
8681.570220263282,8596.715
9301.718833590541,8522.916
9140.027270398763,8780.465
9228.926143030962,8968.422
8882.177202906994,9035.238
8490.26145059988,8857.642
8236.432446561837,8519.833
8375.291019591034,8202.556
8008.906217341662,8085.8423
7252.582073862925,7967.4106
7347.028585392591,7645.612
7622.469152564076,7406.154
7570.98055702338,7396.427
7320.95418845349,7482.465
7137.8233705249595,7473.1973
6790.657797386496,7352.784
6982.810940562715,7094.8276
6945.392053467203,6908.7207
7279.292040318906,6810.5674
7084.949329556124,6883.643
6458.175145013558,6976.032
5768.478911070579,6839.6055
5826.5289239918075,6402.5186
5611.698771756003,5963.5073
5358.609187326674,5606.2046
5323.57428327548,5371.299
4935.5904560697945,5284.4985
5420.222812312941,5174.9653
5225.989221089411,5196.769
5346.9512141393025,5292.8013
5427.873530189589,5500.058
5635.102390573622,5681.5303
5781.364186652796,5841.2827
5480.470262071112,5991.238
5713.207280792258,5998.6133
5781.4358898371365,5949.593
5868.73912129274,5914.5337
5789.264611255886,5920.6714
5668.879609490024,5939.124
4676.861099190016,5952.329
4964.868286958057,5733.5713
4643.328747188374,5489.0884
4454.2733176980655,5262.2515
5021.805976682335,5068.312
4817.2511919150165,5037.2783
5062.441791906978,5119.128
5096.8754098132995,5276.7607
5486.876418870059,5442.456
5580.87074826762,5655.2744
5664.3185098276035,5878.389
5667.046259675777,6055.219
4879.646985492953,6155.8286
5087.56982125146,5987.7446
5113.761862729847,5704.274
5289.753811811632,5450.6904
5101.776244592253,5343.894
5231.521505647323,5332.216
4890.522427281811,5395.3247
5430.929483396054,5413.454
5760.633846014018,5496.091
5738.418787044846,5689.214
6208.865376020481,5897.2993
6072.98977411303,6166.6997
6245.535679598007,6366.419
6188.572021527044,6474.2866
6346.207033080567,6469.056
6668.6647284819455,6424.422
6614.410289501679,6461.015
6580.295916270251,6527.291
5850.6006434495275,6574.488
6077.915355454647,6380.5117
5810.710837691872,6152.7485
5806.231271221442,5941.7383
5942.036403597683,5804.0586
6202.392659390138,5788.3984
7107.808021669309,5917.1846
8471.77923101322,6365.8057
8615.76031280681,7392.7476
8826.06769526386,8468.765
8508.900893988295,9079.236
8694.39031250897,8979.801
8712.985033391036,8709.635
9484.278778865879,8509.84
10788.430538653567,8740.025
10139.194376278312,9686.921
9583.102281156807,10095.182
9989.505349192033,9746.513
9957.173680945925,9534.801
9800.148529616708,9426.868
9563.461888280954,9316.956
8698.330305518846,9158.569
8423.27978208481,8718.309
8254.392065123464,8338.447
8001.538118186201,8115.867
7273.700072740365,7971.4375
7298.747387433151,7687.792
7109.159295436362,7475.0576
6710.136475695263,7332.814
